phase,dataset,n,mode,k,topk,minlen,maxlen,rep,runtime_ms,patterns,pair_attempts,compatible_pairs,pdub_prunes,dub_prunes,aligned_checks,peak_heap_mb
ablation,DB2_Russell2000.txt,8141,tk-naive,0.00012283503255128362,50,2,12,7,3.599100,50,84,224,70,106,138862,50.073
ablation,DB2_Russell2000.txt,8141,tk-naive,0.00012283503255128362,50,2,12,8,3.803000,50,84,224,70,106,138862,52.208
ablation,DB2_Russell2000.txt,8141,tk-naive,0.00012283503255128362,50,2,12,9,3.363800,50,84,224,70,106,138862,54.070
ablation,DB2_Russell2000.txt,8141,tk,0.00012283503255128362,50,2,12,0,2.735000,50,84,224,70,106,138862,66.065
ablation,DB2_Russell2000.txt,8141,tk,0.00012283503255128362,50,2,12,1,2.907900,50,84,224,70,106,138862,68.208
ablation,DB2_Russell2000.txt,8141,tk,0.00012283503255128362,50,2,12,2,2.517600,50,84,224,70,106,138862,70.070
ablation,DB2_Russell2000.txt,8141,tk,0.00012283503255128362,50,2,12,3,2.572900,50,84,224,70,106,138862,72.203
ablation,DB2_Russell2000.txt,8141,tk,0.00012283503255128362,50,2,12,4,2.587100,50,84,224,70,106,138862,74.069
ablation,DB2_Russell2000.txt,8141,tk,0.00012283503255128362,50,2,12,5,2.495600,50,84,224,70,106,138862,76.208
ablation,DB2_Russell2000.txt,8141,tk,0.00012283503255128362,50,2,12,6,2.454400,50,84,224,70,106,138862,78.071
ablation,DB2_Russell2000.txt,8141,tk,0.00012283503255128362,50,2,12,7,2.494500,50,84,224,70,106,138862,80.208
ablation,DB2_Russell2000.txt,8141,tk,0.00012283503255128362,50,2,12,8,2.417100,50,84,224,70,106,138862,82.072
ablation,DB2_Russell2000.txt,8141,tk,0.00012283503255128362,50,2,12,9,2.812500,50,84,224,70,106,138862,84.215
ablation,DB3_Nasdaq.txt,12279,tk-no-pdub,8.1439856665852270e-05,50,2,12,0,5.080100,50,82,221,0,191,234654,114.157
ablation,DB3_Nasdaq.txt,12279,tk-no-pdub,8.1439856665852270e-05,50,2,12,1,4.445400,50,82,221,0,191,234654,118.063
ablation,DB3_Nasdaq.txt,12279,tk-no-pdub,8.1439856665852270e-05,50,2,12,2,4.362900,50,82,221,0,191,234654,120.203
ablation,DB3_Nasdaq.txt,12279,tk-no-pdub,8.1439856665852270e-05,50,2,12,3,4.478900,50,82,221,0,191,234654,124.202
ablation,DB3_Nasdaq.txt,12279,tk-no-pdub,8.1439856665852270e-05,50,2,12,4,4.813800,50,82,221,0,191,234654,126.073
ablation,DB3_Nasdaq.txt,12279,tk-no-pdub,8.1439856665852270e-05,50,2,12,5,4.300000,50,82,221,0,191,234654,130.099
ablation,DB3_Nasdaq.txt,12279,tk-no-pdub,8.1439856665852270e-05,50,2,12,6,4.220400,50,82,221,0,191,234654,132.201
ablation,DB3_Nasdaq.txt,12279,tk-no-pdub,8.1439856665852270e-05,50,2,12,7,4.400700,50,82,221,0,191,234654,136.202
ablation,DB3_Nasdaq.txt,12279,tk-no-pdub,8.1439856665852270e-05,50,2,12,8,4.743000,50,82,221,0,191,234654,140.201
ablation,DB3_Nasdaq.txt,12279,tk-no-pdub,8.1439856665852270e-05,50,2,12,9,4.402900,50,82,221,0,191,234654,142.066
ablation,DB3_Nasdaq.txt,12279,tk-naive,8.1439856665852270e-05,50,2,12,0,5.022200,50,82,221,74,99,206420,160.201
ablation,DB3_Nasdaq.txt,12279,tk-naive,8.1439856665852270e-05,50,2,12,1,4.062100,50,82,221,74,99,206420,162.340
ablation,DB3_Nasdaq.txt,12279,tk-naive,8.1439856665852270e-05,50,2,12,2,4.061000,50,82,221,74,99,206420,166.159
ablation,DB3_Nasdaq.txt,12279,tk-naive,8.1439856665852270e-05,50,2,12,3,4.079800,50,82,221,74,99,206420,170.063
ablation,DB3_Nasdaq.txt,12279,tk-naive,8.1439856665852270e-05,50,2,12,4,4.383200,50,82,221,74,99,206420,172.201
ablation,DB3_Nasdaq.txt,12279,tk-naive,8.1439856665852270e-05,50,2,12,5,4.157100,50,82,221,74,99,206420,174.340
ablation,DB3_Nasdaq.txt,12279,tk-naive,8.1439856665852270e-05,50,2,12,6,4.277400,50,82,221,74,99,206420,178.064
ablation,DB3_Nasdaq.txt,12279,tk-naive,8.1439856665852270e-05,50,2,12,7,4.252900,50,82,221,74,99,206420,180.201
ablation,DB3_Nasdaq.txt,12279,tk-naive,8.1439856665852270e-05,50,2,12,8,4.181200,50,82,221,74,99,206420,184.201
ablation,DB3_Nasdaq.txt,12279,tk-naive,8.1439856665852270e-05,50,2,12,9,4.272300,50,82,221,74,99,206420,186.068
ablation,DB3_Nasdaq.txt,12279,tk,8.1439856665852270e-05,50,2,12,0,4.131400,50,82,221,74,99,206420,204.203
ablation,DB3_Nasdaq.txt,12279,tk,8.1439856665852270e-05,50,2,12,1,3.897200,50,82,221,74,99,206420,208.202
ablation,DB3_Nasdaq.txt,12279,tk,8.1439856665852270e-05,50,2,12,2,3.798500,50,82,221,74,99,206420,210.067
ablation,DB3_Nasdaq.txt,12279,tk,8.1439856665852270e-05,50,2,12,3,3.798300,50,82,221,74,99,206420,212.201
ablation,DB3_Nasdaq.txt,12279,tk,8.1439856665852270e-05,50,2,12,4,3.923100,50,82,221,74,99,206420,216.201
ablation,DB3_Nasdaq.txt,12279,tk,8.1439856665852270e-05,50,2,12,5,4.007600,50,82,221,74,99,206420,218.070
