phase,dataset,n,mode,k,topk,minlen,maxlen,rep,runtime_ms,patterns,pair_attempts,compatible_pairs,pdub_prunes,dub_prunes,aligned_checks,peak_heap_mb
central,DB1_Amazon.txt,5842,tk,0.00017117425539198904,50,2,12,7,1.890100,50,84,232,79,105,95480,529.304
central,DB1_Amazon.txt,5842,tk,0.00017117425539198904,50,2,12,8,3.084700,50,84,232,79,105,95480,529.304
central,DB1_Amazon.txt,5842,tk,0.00017117425539198904,50,2,12,9,2.026000,50,84,232,79,105,95480,531.304
central,DB2_Russell2000.txt,8141,hjtopk,0.00012283503255128362,50,2,12,0,61.614200,50,27203,53040,0,0,415273,825.304
central,DB2_Russell2000.txt,8141,hjtopk,0.00012283503255128362,50,2,12,1,64.822800,50,27203,53040,0,0,415273,875.304
central,DB2_Russell2000.txt,8141,hjtopk,0.00012283503255128362,50,2,12,2,61.084200,50,27203,53040,0,0,415273,923.304
central,DB2_Russell2000.txt,8141,hjtopk,0.00012283503255128362,50,2,12,3,67.715100,50,27203,53040,0,0,415273,971.304
central,DB2_Russell2000.txt,8141,hjtopk,0.00012283503255128362,50,2,12,4,63.635700,50,27203,53040,0,0,415273,1021.304
central,DB2_Russell2000.txt,8141,hjtopk,0.00012283503255128362,50,2,12,5,60.255300,50,27203,53040,0,0,415273,1069.304
central,DB2_Russell2000.txt,8141,hjtopk,0.00012283503255128362,50,2,12,6,65.964000,50,27203,53040,0,0,415273,1119.304
central,DB2_Russell2000.txt,8141,hjtopk,0.00012283503255128362,50,2,12,7,66.441400,50,27203,53040,0,0,415273,1167.304
central,DB2_Russell2000.txt,8141,hjtopk,0.00012283503255128362,50,2,12,8,63.230900,50,27203,53040,0,0,415273,1215.304
central,DB2_Russell2000.txt,8141,hjtopk,0.00012283503255128362,50,2,12,9,66.656000,50,27203,53040,0,0,415273,1227.304
central,DB2_Russell2000.txt,8141,tk-no-bounds,0.00012283503255128362,50,2,12,0,63.096600,50,27203,53040,0,0,415273,331.712
central,DB2_Russell2000.txt,8141,tk-no-bounds,0.00012283503255128362,50,2,12,1,63.334800,50,27203,53040,0,0,415273,379.712
central,DB2_Russell2000.txt,8141,tk-no-bounds,0.00012283503255128362,50,2,12,2,66.119200,50,27203,53040,0,0,415273,427.712
central,DB2_Russell2000.txt,8141,tk-no-bounds,0.00012283503255128362,50,2,12,3,62.379000,50,27203,53040,0,0,415273,475.712
central,DB2_Russell2000.txt,8141,tk-no-bounds,0.00012283503255128362,50,2,12,4,63.089700,50,27203,53040,0,0,415273,525.712
central,DB2_Russell2000.txt,8141,tk-no-bounds,0.00012283503255128362,50,2,12,5,62.766400,50,27203,53040,0,0,415273,573.712
central,DB2_Russell2000.txt,8141,tk-no-bounds,0.00012283503255128362,50,2,12,6,62.431300,50,27203,53040,0,0,415273,621.712
central,DB2_Russell2000.txt,8141,tk-no-bounds,0.00012283503255128362,50,2,12,7,66.557200,50,27203,53040,0,0,415273,669.712
central,DB2_Russell2000.txt,8141,tk-no-bounds,0.00012283503255128362,50,2,12,8,65.243300,50,27203,53040,0,0,415273,717.712
central,DB2_Russell2000.txt,8141,tk-no-bounds,0.00012283503255128362,50,2,12,9,65.238600,50,27203,53040,0,0,415273,767.712
central,DB2_Russell2000.txt,8141,tk-no-pdub,0.00012283503255128362,50,2,12,0,2.622400,50,84,224,0,192,153785,779.712
central,DB2_Russell2000.txt,8141,tk-no-pdub,0.00012283503255128362,50,2,12,1,3.817900,50,84,224,0,192,153785,781.712
central,DB2_Russell2000.txt,8141,tk-no-pdub,0.00012283503255128362,50,2,12,2,2.747400,50,84,224,0,192,153785,783.712
central,DB2_Russell2000.txt,8141,tk-no-pdub,0.00012283503255128362,50,2,12,3,2.965100,50,84,224,0,192,153785,785.712
central,DB2_Russell2000.txt,8141,tk-no-pdub,0.00012283503255128362,50,2,12,4,2.370800,50,84,224,0,192,153785,787.712
central,DB2_Russell2000.txt,8141,tk-no-pdub,0.00012283503255128362,50,2,12,5,2.371900,50,84,224,0,192,153785,789.746
central,DB2_Russell2000.txt,8141,tk-no-pdub,0.00012283503255128362,50,2,12,6,2.448700,50,84,224,0,192,153785,791.712
