dataset	n	mode	k	topk	maxlen	rank	pattern	support	sha256
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	30	(4,1,2,3)	95.014969245542	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	31	(4,5,3,2,1)	93.637461000293	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	32	(3,4,1,2)	92.124552367552	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	33	(1,3,2,4,5)	82.156399776349	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	34	(1,4,2,3)	80.418724653370	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	35	(1,2,4,3,5)	79.921926729636	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	36	(2,3,4,1)	77.011325535157	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	37	(2,3,1,4)	76.896233385564	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	38	(4,1,3,2)	74.593658991786	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	39	(1,2,3,4,5,6,7)	71.581087343147	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	40	(5,3,4,2,1)	70.723388183712	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	41	(1,2,3,4,6,5)	70.619730343313	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	42	(1,2,4,5,3)	70.079674228697	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	43	(2,1,3,4,5,6)	69.728654547490	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	44	(3,2,4,1)	68.756395531467	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	45	(1,2,5,4,3)	67.767376411794	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	46	(2,1,3,5,4)	65.695636767345	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	47	(5,4,2,3,1)	64.635968641070	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	48	(6,5,4,3,2,1)	62.787097470578	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	49	(3,1,2,4,5)	61.937620526958	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	hjtopk	0.00017117425539198904	50	12	50	(3,1,4,2)	59.510751203965	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	tk-no-bounds	0.00017117425539198904	50	12	1	(1,2)	1906.158054782355	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
DB1_Amazon.txt	5842	tk-no-bounds	0.00017117425539198904	50	12	2	(2,1)	1769.378383075387	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd
